Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2023-09-28,1598.63000000,1668.21000000,1598.14000000,1652.99000000,331409.70150000,2023-09-28 23:59:59.999,541873730.29669800,567825,161317.02190000,263716289.47712900,0
2023-09-29,1653.00000000,1688.00000000,1648.37000000,1667.45000000,251975.67280000,2023-09-29 23:59:59.999,420335662.09662800,494615,119324.55780000,199086852.66872900,0
2023-09-30,1667.45000000,1694.32000000,1666.19000000,1670.89000000,136924.91410000,2023-09-30 23:59:59.999,229630339.53543700,342315,74748.05190000,125347764.51287300,0
2023-10-01,1670.89000000,1751.00000000,1668.00000000,1733.79000000,225611.58680000,2023-10-01 23:59:59.999,383793846.18348800,495195,113996.16590000,194000592.08668800,0
2023-10-02,1733.80000000,1744.00000000,1636.79000000,1662.40000000,378575.68980000,2023-10-02 23:59:59.999,643680600.09260300,773990,181099.22020000,308057405.92135800,0
2023-10-03,1662.41000000,1670.65000000,1643.00000000,1656.88000000,198287.11640000,2023-10-03 23:59:59.999,328606758.39861700,530016,93742.61540000,155357300.32174700,0
2023-10-04,1656.88000000,1657.66000000,1625.00000000,1646.58000000,222861.71670000,2023-10-04 23:59:59.999,365919693.07999000,553269,105410.57680000,173086611.24806600,0
2023-10-05,1646.58000000,1655.47000000,1606.73000000,1611.79000000,237378.74490000,2023-10-05 23:59:59.999,386770321.77235200,545845,110822.14590000,180526551.03047100,0
2023-10-06,1611.79000000,1662.00000000,1611.68000000,1645.03000000,220507.92860000,2023-10-06 23:59:59.999,360565723.57884400,539488,109623.00060000,179235720.66966800,0
2023-10-07,1645.03000000,1647.71000000,1630.03000000,1633.57000000,101241.57320000,2023-10-07 23:59:59.999,165907550.80901300,288695,47002.98120000,77028514.72954500,0
2023-10-08,1633.56000000,1641.40000000,1616.17000000,1632.84000000,149424.66350000,2023-10-08 23:59:59.999,243516204.38871700,372636,72838.61570000,118698298.92276700,0
2023-10-09,1632.85000000,1636.00000000,1546.00000000,1580.13000000,340141.09880000,2023-10-09 23:59:59.999,540588837.45958900,646240,167250.98390000,265609380.01829500,0
2023-10-10,1580.13000000,1594.90000000,1550.55000000,1567.63000000,240659.32870000,2023-10-10 23:59:59.999,378967575.34008300,613660,122514.98030000,192965581.78925500,0
2023-10-11,1567.62000000,1578.43000000,1544.26000000,1566.87000000,260253.96710000,2023-10-11 23:59:59.999,406667649.14402200,605321,134785.48640000,210618804.52340000,0
2023-10-12,1566.86000000,1568.56000000,1521.00000000,1539.61000000,237221.49770000,2023-10-12 23:59:59.999,366335747.01366700,510960,110863.92500000,171195520.91783800,0
2023-10-13,1539.61000000,1575.36000000,1537.76000000,1552.16000000,192205.87360000,2023-10-13 23:59:59.999,297929349.18692500,520123,92439.20410000,143291580.64583900,0
2023-10-14,1552.16000000,1561.72000000,1544.55000000,1554.94000000,100314.67540000,2023-10-14 23:59:59.999,155648012.90784400,281561,41626.75670000,64617045.02605300,0
2023-10-15,1554.94000000,1567.62000000,1547.44000000,1557.77000000,120311.27380000,2023-10-15 23:59:59.999,187266232.06238600,316951,57789.47240000,89957330.73435300,0
2023-10-16,1557.78000000,1639.43000000,1555.06000000,1599.42000000,418510.86440000,2023-10-16 23:59:59.999,665124956.25364000,729569,215767.08560000,342929071.44598200,0
2023-10-17,1599.41000000,1600.53000000,1551.08000000,1565.01000000,234817.06990000,2023-10-17 23:59:59.999,370032208.15675400,475213,106364.46260000,167596650.46421400,0
2023-10-18,1565.01000000,1585.42000000,1555.88000000,1563.44000000,177750.22530000,2023-10-18 23:59:59.999,279357949.45458000,440577,87939.03430000,138219607.96215800,0
2023-10-19,1563.45000000,1574.45000000,1541.61000000,1566.57000000,216217.66750000,2023-10-19 23:59:59.999,336684246.04449600,469598,101807.26510000,158534910.77649600,0
2023-10-20,1566.57000000,1630.40000000,1561.19000000,1603.89000000,315995.79200000,2023-10-20 23:59:59.999,506065182.98231400,651738,158954.72470000,254549257.17093600,0
2023-10-21,1603.88000000,1644.53000000,1592.36000000,1628.94000000,176419.40920000,2023-10-21 23:59:59.999,285546594.56213000,463033,89419.90930000,144754684.68165700,0
2023-10-22,1628.94000000,1667.80000000,1621.10000000,1663.70000000,228650.92250000,2023-10-22 23:59:59.999,374841495.30439100,580843,108635.98610000,178084510.66694800,0
2023-10-23,1663.69000000,1800.00000000,1657.07000000,1765.46000000,610931.96630000,2023-10-23 23:59:59.999,1044121568.09905400,1167834,302609.53350000,517197485.18685300,0
2023-10-24,1765.47000000,1854.38000000,1756.21000000,1784.98000000,674055.13750000,2023-10-24 23:59:59.999,1216867823.89922500,1308532,335960.76130000,606671583.33911700,0
