Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore,Average Price,Price Change
2023-10-19,28320.0,28916.89,28100.66,28713.71,35895.50179,2023-10-19 23:59:59.999,1023984017.03227880,1330256,18427.23743000,525695852.56325010,0,28508.775,393.7099999999991
2023-10-20,28713.71,30207.55,28578.29,29669.04,59422.0992,2023-10-20 23:59:59.999,1753411192.55109090,1915748,29466.75927000,869634841.32812210,0,29392.92,955.3300000000017
2023-10-21,29669.05,30379.99,29464.77,29909.8,27517.51897,2023-10-21 23:59:59.999,821964508.43536290,1152137,13836.12444000,413323530.34217960,0,29922.38,240.75
2023-10-22,29909.8,30248.0,29640.0,29992.46,22852.54563,2023-10-22 23:59:59.999,683854827.89693230,1008299,11161.46844000,334011129.23149610,0,29944.0,82.65999999999985
2023-10-23,29992.46,34741.91,29883.6,33069.99,93513.64246,2023-10-23 23:59:59.999,2941620022.86518770,2839938,47839.23087000,1505815243.56769950,0,32312.755,3077.529999999999
2023-10-24,33069.99,35280.0,32832.34,33922.73,115265.02418,2023-10-24 23:59:59.999,3933194868.16119640,2850160,57409.31981000,1959449469.46579320,0,34056.17,852.7400000000052
2023-10-25,33922.73,35132.85,33679.05,34496.05,54887.02529,2023-10-25 23:59:59.999,1888210825.60638280,1643976,26150.50377000,900236395.37262640,0,34405.95,573.3199999999997
2023-10-26,34496.05,34824.13,33751.0,34151.66,39744.66255,2023-10-26 23:59:59.999,1363077907.10911990,1382785,18528.43061000,635547858.49281820,0,34287.565,-344.3899999999994
2023-10-27,34151.66,34245.0,33390.95,33892.02,32330.40106,2023-10-27 23:59:59.999,1096889423.41984200,1112240,14310.32429000,485405697.92440140,0,33817.975,-259.6400000000067
2023-10-28,33892.01,34493.33,33860.0,34081.0,16880.13144,2023-10-28 23:59:59.999,575936523.34735300,607438,8313.30759000,283656619.58636190,0,34176.665,188.98999999999796
2023-10-29,34081.01,34750.11,33930.0,34525.89,20685.52176,2023-10-29 23:59:59.999,711652985.17909640,717480,10053.96096000,345933681.79684670,0,34340.055,444.8799999999974
2023-10-30,34525.88,34856.0,34062.84,34474.73,33657.95976,2023-10-30 23:59:59.999,1159771907.64210540,1117727,15237.56781000,525162190.53711940,0,34459.42,-51.14999999999418
2023-10-31,34474.74,34720.49,34025.0,34639.77,32737.89822,2023-10-31 23:59:59.999,1125442444.48848820,1179053,15843.79500000,544722903.49684810,0,34372.744999999995,165.02999999999884
2023-11-01,34639.78,35582.0,34097.39,35421.43,53473.28165,2023-11-01 23:59:59.999,1856348820.47945360,1624635,25779.00290000,895387891.46766650,0,34839.695,781.6500000000015
2023-11-02,35421.43,35984.99,34300.0,34941.59,48015.57732,2023-11-02 23:59:59.999,1686141698.09217100,1450837,23303.35350000,818365718.95493110,0,35142.494999999995,-479.8400000000038
2023-11-03,34941.58,34946.5,34120.0,34716.78,39071.20644,2023-11-03 23:59:59.999,1347962831.56586230,1237373,19168.85669000,661176167.77493460,0,34533.25,-224.8000000000029
2023-11-04,34716.78,35255.0,34585.18,35062.07,18377.55545,2023-11-04 23:59:59.999,639958598.41983530,794787,9229.16649000,321479754.91729340,0,34920.09,345.2900000000009
2023-11-05,35062.06,35380.0,34448.0,35011.88,24528.73376,2023-11-05 23:59:59.999,859350974.00148930,1038468,11870.33193000,415912075.90000270,0,34914.0,-50.18000000000029
2023-11-06,35011.89,35276.33,34725.9,35046.09,22346.47086,2023-11-06 23:59:59.999,782427702.26532050,988246,10770.27727000,377126281.15309060,0,35001.115000000005,34.19999999999709
2023-11-07,35046.09,35888.0,34523.06,35399.12,38688.73692,2023-11-07 23:59:59.999,1358031361.19785270,1352796,19375.26868000,680382009.65994160,0,35205.53,353.0300000000061
2023-11-08,35399.13,36106.0,35100.0,35624.72,33401.34137,2023-11-08 23:59:59.999,1185492160.49272780,1132568,17192.82450000,610314635.37988970,0,35603.0,225.59000000000378
2023-11-09,35624.72,37972.24,35534.05,36701.09,82537.88885,2023-11-09 23:59:59.999,3033417922.78268170,2138765,42156.81236000,1550254981.04518770,0,36753.145000000004,1076.3699999999953
2023-11-10,36701.1,37526.0,36324.71,37301.63,43414.04898,2023-11-10 23:59:59.999,1605069174.52410320,1297729,21388.56879000,790671818.76836700,0,36925.354999999996,600.5299999999988
2023-11-11,37301.63,37408.26,36666.93,37130.0,22984.97235,2023-11-11 23:59:59.999,851924612.73394270,923300,10728.65792000,397673179.66791970,0,37037.595,-171.62999999999738
2023-11-12,37129.99,37222.22,36731.1,37064.13,17687.18874,2023-11-12 23:59:59.999,655570813.13827110,810885,8506.46051000,315285367.54474800,0,36976.66,-65.86000000000058
2023-11-13,37064.13,37417.99,36333.0,36462.93,32798.18252,2023-11-13 23:59:59.999,1208037462.30414440,1217191,15442.44512000,568916594.91131740,0,36875.494999999995,-601.1999999999971
2023-11-14,36462.93,36744.0,34800.0,35551.19,45503.68416,2023-11-14 23:59:59.999,1639130785.08681010,1404428,21205.18615000,763841642.88087800,0,35772.0,-911.739999999998
2023-11-15,35551.2,37980.0,35360.0,37858.2,53569.13385,2023-11-15 23:59:59.999,1963249656.50947370,1545427,28142.14240000,1031669501.99342080,0,36670.0,2307.0
2023-11-16,37858.2,37929.54,35500.0,36163.51,47490.39566,2023-11-16 23:59:59.999,1744503339.01517260,1542446,22214.04928000,815932555.13312680,0,36714.770000000004,-1694.689999999995
2023-11-17,36163.51,36800.0,35861.1,36613.92,38283.61112,2023-11-17 23:59:59.999,1391225051.19232720,1349322,18403.36411000,668865883.14174650,0,36330.55,450.4099999999962
2023-11-18,36613.91,36845.49,36178.58,36568.1,17102.24186,2023-11-18 23:59:59.999,624434069.52566340,784498,8101.54756000,295795105.43003230,0,36512.035,-45.81000000000495
2023-11-19,36568.11,37500.0,36384.02,37359.86,21246.34648,2023-11-19 23:59:59.999,781531839.43715920,862400,10575.25293000,389089868.80634200,0,36942.009999999995,791.75
2023-11-20,37359.85,37750.0,36677.0,37448.78,36022.70291,2023-11-20 23:59:59.999,1343722642.38647510,1485050,17591.22652000,656245983.73971830,0,37213.5,88.93000000000029
2023-11-21,37448.79,37649.44,35735.0,35741.65,47646.54804,2023-11-21 23:59:59.999,1756747495.98185460,1936895,22371.42068000,824920009.55786000,0,36692.22,-1707.1399999999994
2023-11-22,35741.65,37861.1,35632.01,37408.34,45051.30697,2023-11-22 23:59:59.999,1657141022.42734800,1648374,23046.71174000,847145468.32595360,0,36746.555,1666.689999999995
2023-11-23,37408.35,37653.44,36870.0,37294.28,23827.92882,2023-11-23 23:59:59.999,888826648.85414730,992284,11086.35132000,413539343.94482050,0,37261.72,-114.06999999999971
2023-11-24,37294.27,38414.0,37251.51,37713.57,44680.80646,2023-11-24 23:59:59.999,1688715728.07914810,1379414,22349.17236000,844803081.63218240,0,37832.755000000005,419.3000000000029
